,Conductivity,smiles_list,SMILES_wt_list
0,2e-07,"['O=Cl(=O)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.10784791 0.89215209 0.        ]
1,7e-07,"['F[B-](F)(F)F', '[Mg]OCC[Mg]', 'Blank']",[0.09626356 0.90373644 0.        ]
2,2e-09,"['O=S(C(F)(F)F)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.15057401 0.84942599 0.        ]
3,0.003843630178378953,"['F[P-](F)(F)(F)(F)F', '[Mg]OCC[Mg]', 'Blank']",[0.38454259 0.61545741 0.        ]
19,0.0058168290644608454,"['F[P-](F)(F)(F)(F)F', '[Mg]OCC[Mg]', 'Blank']",[0.43620994 0.56379006 0.        ]
35,0.00789369452185803,"['F[P-](F)(F)(F)(F)F', '[Mg]OCC[Mg]', 'Blank']",[0.32311142 0.67688858 0.        ]
49,0.006838888914109987,"['F[P-](F)(F)(F)(F)F', '[Mg]OCC[Mg]', 'Blank']",[0.2519519 0.7480481 0.       ]
62,0.0012348731830058128,"['F[P-](F)(F)(F)(F)F', 'O=C1OCCO1', '[Mg]OCC[Mg]']",[0.22534529 0.71459265 0.06006207]
78,0.004460586586328738,"['F[P-](F)(F)(F)(F)F', 'O=C1OCCO1', '[Mg]OCC[Mg]']",[0.20095399 0.68389865 0.11514736]
87,0.0008602968963330949,"['F[P-](F)(F)(F)(F)F', 'O=C1OCCO1', '[Mg]OCC[Mg]']",[0.17912924 0.65530708 0.16556367]
104,2e-07,"['O=S(C(F)(F)F)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.39816436 0.60183564 0.        ]
105,2.54e-07,"['O=S(C(F)(F)F)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.41818772 0.58181228 0.        ]
106,1e-06,"['O=S(C(F)(F)F)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.31081257 0.68918743 0.        ]
107,6.23e-07,"['O=S(C(F)(F)F)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.24159227 0.75840773 0.        ]
108,1.63e-05,"['O=S(C(F)(F)F)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.31081257 0.68918743 0.        ]
109,2.02e-05,"['O=S(C(F)(F)F)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.31081257 0.68918743 0.        ]
110,3.65e-05,"['O=S(C(F)(F)F)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.31081257 0.68918743 0.        ]
111,8.64e-05,"['O=S(C(F)(F)F)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.31081257 0.68918743 0.        ]
112,3.37e-05,"['O=S(C(F)(F)F)([O-])=O', '[Mg]OCC[Mg]', 'O=C(OCC)C1=CC=CC=C1C(OCC)=O']",[0.20489401 0.46963998 0.32546601]
113,6.141493548958125e-06,"['[Mg]CC(S(=O)([O-])=O)[Mg]', '[Mg]OCC[Mg]', 'Blank']",[0.30142797 0.69857203 0.        ]
125,7.3214988753406355e-06,"['[Mg]CC(S(=O)([O-])=O)[Mg]', '[Mg]OCC[Mg]', 'Blank']",[0.24449542 0.75550458 0.        ]
137,5.827362031937658e-06,"['[Mg]CC(S(=O)([O-])=O)[Mg]', '[Mg]OCC[Mg]', 'Blank']",[0.20565256 0.79434744 0.        ]
148,4.14251414468689e-06,"['[Mg]CC(S(=O)([O-])=O)[Mg]', '[Mg]OCC[Mg]', 'Blank']",[0.15606471 0.84393529 0.        ]
159,0.0004688015079858862,"['[Mg]CC(S(=O)([O-])=O)[Mg]', '[Mg]OCC[Mg]', 'FB(F)F']",[0.18854065 0.57683287 0.11209185]
173,5.308844442309878e-06,"['[Mg]CC(C([O-])=O)[Mg]', '[Mg]OCC[Mg]', 'Blank']",[0.30713833 0.69286167 0.        ]
186,9.474624348483081e-06,"['[Mg]CC(C([O-])=O)[Mg]', '[Mg]OCC[Mg]', 'Blank']",[0.22784928 0.77215072 0.        ]
198,5.131921445582305e-06,"['[Mg]CC(C([O-])=O)[Mg]', '[Mg]OCC[Mg]', 'Blank']",[0.18120905 0.81879095 0.        ]
210,4.304829944383606e-06,"['[Mg]CC(C([O-])=O)[Mg]', '[Mg]OCC[Mg]', 'Blank']",[0.15041869 0.84958131 0.        ]
222,0.000686197292269418,"['[Mg]CC(C([O-])=O)[Mg]', '[Mg]OCC[Mg]', 'FB(F)F']",[0.02720404 0.92329287 0.0236499 ]
236,4.6916866651118284e-07,"['O=S(C1=CC=C(C(C[Mg])[Mg])C=C1)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.41840002 0.58159998 0.        ]
243,1.4776786549882026e-06,"['O=S(C1=CC=C(C(C[Mg])[Mg])C=C1)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.35045791 0.64954209 0.        ]
250,6.005635914434329e-07,"['O=S(C1=CC=C(C(C[Mg])[Mg])C=C1)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.30149886 0.69850114 0.        ]
257,2.0970896653038683e-07,"['O=S(C1=CC=C(C(C[Mg])[Mg])C=C1)([O-])=O', '[Mg]OCC[Mg]', 'Blank']",[0.26449684 0.73550316 0.        ]
264,1.8283906848018524e-06,"['[Mg]C(CC(C[Mg])C(O[B-](OC1=O)(OC1=O)O2)=O)C2=O', 'Blank', 'Blank']",[1. 0. 0.]
271,1.1328724097190537e-05,"['[Mg]C1CC(O[B-](OC2=O)(OC2=O)O1)C[Mg]', 'Blank', 'Blank']",[1. 0. 0.]
278,6.591936269914421e-10,"['O=S(C1=CC=C(C(C[Mg])[Mg])C=C1)([N-]S(=O)(C(F)(F)F)=O)=O', '[Mg]OCC[Mg]', 'Blank']",[0.40643656 0.59356344 0.        ]
292,1.1156603532151266e-08,"['O=S(C1=CC=C(C(C[Mg])[Mg])C=C1)([N-]S(=O)(C(F)(F)F)=O)=O', '[Mg]OCC[Mg]', 'Blank']",[0.47684484 0.52315516 0.        ]
306,2.2785785252503397e-10,"['O=S(C1=CC=C(C(C[Mg])[Mg])C=C1)([N-]S(=O)(C(F)(F)F)=O)=O', '[Mg]OCC[Mg]', 'Blank']",[0.26737571 0.73262429 0.        ]
321,9.628907174515391e-10,"['O=S(C1=CC=C(C(C[Mg])[Mg])C=C1)([N-]S(=O)(C(F)(F)F)=O)=O', '[Mg]OCC[Mg]', 'Blank']",[0.19578586 0.80421414 0.        ]
