,SMILES,Reconst,Sim
0,c1ccc2c(c1)nc(s2)N,Nc1ccc2scnc2c1,0.7416267942583732
1,c1ccc(cc1)COC(=O)/C=C/c2ccccc2,N#Cc1ccc(OCC(=O)/N=C/c2ccccc2)cc1,0.3333333333333333
2,O=C1C=C(C)C(=O)C(C)=C1,CC1=CC(=O)C=C(C)C1=O,1.0
3,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,[NH3+]C(=O)c1ccc([N+](=O)[O-])cc1,0.42857142857142855
4,c1ccc2c(c1)c(ccn2)O,Oc1ccnc2ccccc12,1.0
5,C1=CC=C2C(=C1)SC3=CC=CC=C3S2,,1e-05
6,c1ccc(cc1)c2c(nc([nH]2)c3ccccc3)c4ccccc4,c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1,1.0
7,c1cc(ccc1CC(=O)O)Br,O=C([O-])Cc1ccccc1,0.5
8,CC(=O)OCC,CCOC(=O)[C@@H](C)F,0.34146341463414637
9,Fc1c(c(F)c(F)c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,,1e-05
10,Oc1cccc2cccnc12,Oc1cccc2cccnc12,1.0
11,CCCCCCCCCCCCCCCC=C,C=CCCCCCCCCCCCCC,1.0
12,CC(CNCC(C)O)O,C[C@H](O)CNC[C@H](C)O,1.0
13,O=[N+]([O-])c1ccccc1O,O=[N+]([O-])c1ccccc1O,1.0
14,Cc1ccccc1NC(=N)Nc2ccccc2C,Cc1ccccc1NC(=N)Nc1ccccc1C,1.0
15,c1cc(c(cc1Br)C(=O)O)Br,Error,0.0196078431372549
16,Cc1ccc(cc1)Cc2ccc(C)cc2,Cc1ccc(Cc2ccc(C)cc2)cc1,1.0
17,CC(C)(C)C,CC(C)(C)C,1.0
18,Clc1cc(Cl)c(N)cc1,Error,0.018867924528301886
19,c1ccc(cc1)c2c(c2=O)c3ccccc3,O=Cc1cc[o+]c(-c2ccccc2)c1-c1ccccc1,0.3333333333333333
20,c1cc(c(cc1Cl)Cl)C(=O)Cl,O=C([O-])c1ccc(Cl)cc1Cl,0.660377358490566
21,c1ccc2c(c1)cc(c3c2cccc3)Br,Brc1cccc2ccccc12,0.8095238095238095
22,C1CCC(=O)C(=O)C1,C[C@H]1CCC(=O)C(=O)C1,0.4358974358974359
23,CCC(C)(C)O,CCC(C)(C)O,1.0
24,C(CC(=O)O)C(=O)C(=O)O,,1e-05
25,BrC(c1ccccc1)(c2ccccc2)c3ccccc3,BrC(c1ccccc1)(c1ccccc1)c1ccccc1,1.0
26,C=Cc1ccc(cc1)c2ccccc2,C=Cc1ccc(-c2ccccc2)cc1,1.0
27,[O-][N+](=O)NC/1=N/CCN\1Cc2cnc(Cl)cc2,O=[SH]n1cnc2c(NNC[C@H]3CCCOC3)ccnc21,0.3684210526315789
28,c1ccc2c(c1)cc(cc2O)O,C[C@@]1(O)C=C(Oc2ccccc2)C=CC1,0.17073170731707318
29,BrC(CC)CC,C[C@@H](Br)CCO,0.37142857142857144
30,Oc3cc4CC[C@@H]1[C@H](CC[C@]2(C)C(=O)CC[C@@H]12)c4cc3,C[C@]12CC=C3CCc4cc(O)ccc4[C@@H]3[C@@H]1CCC2=O,0.7794117647058824
31,Nc1cccc(OC)c1,CC(=O)Nc1cccc(O)c1,0.46774193548387094
32,O=[N+]([O-])c1cc(C=C)ccc1,C=Cc1cccc([N+](=O)[O-])c1,1.0
33,CCCCCCN,CCCCCCNC,0.782608695652174
34,CCCC=C,CCCC[NH3+],0.1
35,c1ccc2c(c1)CC=C2,c1ccc2c(c1)CCC2,0.25
36,O=[N+]([O-])c1cccc(c1)[N+]([O-])=O,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1.0
37,c1cc(ccc1Oc2ccc(cc2)Br)Br,Brc1ccc(COc2ccc(Br)cc2)cc1,0.6923076923076923
38,C1=CC(=C(C=C1C(=O)O)Cl)Cl,Clc1ccccc1Cl,0.48148148148148145
39,c1ccc(c(c1)CCl)Cl,ClCc1ccccc1Cl,1.0
40,CC(=O)Nc1ccc(cc1)C#N,CC(=O)Nc1ccc(C#N)cc1,1.0
41,CCc1[nH]cc(n1)C,CCc1nc(C)c[nH]1,1.0
42,Cc1cccc(c1)C(C)(C)C,Cc1cccc(C(C)(C)C)c1,1.0
43,CN1CC=C(CC1)c2ccccc2,NC1=C(c2ccccc2)CNCC1,0.45901639344262296
44,COC(=O)/C=C/C(=O)OC,COC(=O)/C=C/C(=O)OC,1.0
45,N#CCc1cccc(c1)CC#N,N#CCc1cccc(CC#N)c1,1.0
46,Clc2c(Cc1c(O)c(Cl)cc(Cl)c1Cl)c(O)c(Cl)cc2Cl,,1e-05
47,Cc1cc(c(c(c1NC(=O)CN(CC(=O)O)CC(=O)O)C)Br)C,Cc1cc(NCC(=O)N(CC(=O)O)C(C)C)c(C)cc1Br,0.7131147540983607
48,O=C(NN)c1ccncc1,NNC(=O)c1ccncc1,1.0
49,C1=CC(=CC=C1C(=O)O)O,C[C@@H](C#N)Oc1ccccc1,0.2830188679245283
50,C1CC[C@@H]2CCCC[C@@H]2C1,C1CCC2CCCCC2C1,1.0
51,CC(=O)CCl,CC(=O)CCl,1.0
52,c1(c(c(c(c(c1F)F)F)F)F)C(F)(F)F,,1e-05
53,c1ccc2c(c1)ccc(n2)C=O,O=Cc1ccc2ccccc2n1,1.0
54,Cc1cc(cc(c1)N)C,Cc1cc(C)cc(N)c1,1.0
55,c1cc2c(cc1N)CCC2,Nc1ccc2c(c1)CCC2,1.0
56,c1ccc(cc1)C(=O)Oc2cccc(c2)O,,1e-05
57,Nc1ccc(Br)c(C)c1,Cc1cc(N)ccc1Br,1.0
58,Cc1cccc(Cl)c1Cl,Cc1cccc(Cl)c1Cl,1.0
59,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,Nc1cc2c(c(C=O)c1N)-c1ccccc1C(=O)C2,0.4900662251655629
60,c1ccc(cc1)CC(=O)c2ccccc2,O=C(Cc1ccccc1)c1ccccc1,1.0
61,Oc1ccccc1NC(C)=O,CC(=O)Oc1ccccc1N,0.5833333333333334
62,CCC(=O)C(CC(C)N1CCOCC1)(c2ccccc2)c3ccccc3,CC(C)([C@@H](Cc1ccccc1)C(=O)Cc1ccccc1)N1CCOCC1,0.5491803278688525
63,CCCOC=O,CCCOC=O,1.0
64,CCI,CCI,1.0
65,FC(F)(F)S(=O)c1c(N)n(nc1C#N)c2c(Cl)cc(cc2Cl)C(F)(F)F,C[C@@H](N)c1cnc(S(=O)(=O)Nc2c(F)cc(C(F)(F)F)c(Cl)c2Cl)c(F)c1,0.49206349206349204
66,c1ccc(cc1)COc2ccc3c(c2)cc[nH]3,c1ccc(COc2ccc3[nH]ccc3c2)cc1,1.0
67,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(=O)OCC,CC(C)(Oc1ccc(Cl)cc1)C(=O)OCc1ccc(Cl)cc1,0.4748201438848921
68,NC(=O)c1cnccn1,NC(=O)c1cnccn1,1.0
69,O=[N+]([O-])c1cccc(C(=O)O)c1Cl,O=C([O-])c1cccc([N+](=O)[O-])c1O,0.4725274725274725
70,Cc1ccc2c(c1)nc[nH]2,Cc1ccc2[nH]cnc2c1,1.0
71,Cc1ccc(cc1Cl)Cl,Cc1ccc(Cl)cc1Cl,1.0
72,Oc1cc(C)c(Cl)cc1C(C)C,Cc1cc(O)c(C(C)C)cc1Cl,1.0
73,O=C(O)CCCCCCC(=O)O,O=C(O)CCCCCC(=O)O,1.0
74,C=CC(=O)O,C=CC(=O)OC,0.5357142857142857
75,CCC(=O)c1cc(ccc1O)O,CCC(=O)c1cc(O)ccc1O,1.0
76,OC(C(=NO)c1ccccc1)c2ccccc2,O/N=C(\c1ccccc1)[C@@H](O)c1ccccc1,1.0
77,c1ccc(c(c1)C(=O)N)F,NC(=O)c1ccccc1F,1.0
78,C1=CC(=CC=C1C(=O)O)Br,Brc1ccccc1,0.5135135135135135
79,c1ccc(cc1)c2[nH]ccn2,c1ccc(-c2ncc[nH]2)cc1,1.0
80,CC(C)(O)C(C)(C)O,CC(C)(O)C(C)(C)O,1.0
81,CN1CCC(C1)CN3c2ccccc2Sc4ccccc34,CN1CC[C@@H](CN2c3ccccc3Sc3ccccc32)C1,1.0
82,COc1ccc(cc1)/C=C/C(=O)O,COc1ccc(/C=C/C(=O)O)cc1,1.0
83,c1ccc(cc1)P(CP(c2ccccc2)c3ccccc3)c4ccccc4,C[P@@](N)(=O)c1cccc([C@@H](n2nnc3ccccc32)[P@@H](=O)c2ccccc2)c1,0.10033444816053512
84,O=[N+]([O-])c1ccc(C=O)cc1,O=Cc1ccc([N+](=O)[O-])cc1,1.0
85,C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1.0
86,CC(C)CCC#C,C#CCCC(C)C,1.0
87,c1ccc(c(c1)/C=C/C(=O)O)C(F)(F)F,C/C(O)=C/c1ccc(F)cc1C#N,0.2727272727272727
88,c1cc(C=O)c2CCOC(c2c1)=O,NC(=O)[C@@H]1COC(=O)c2ccccc21,0.528169014084507
89,C[Si](C)(C)C,C[C@H]([NH3+])c1ccccc1,0.023255813953488372
90,CC1(C)CC(C)(c2ccccc21)c1ccccc1,CC1(C)C[C@@](C)(c2ccccc2)c2ccccc21,1.0
91,c1cc(c(cc1F)[N+](=O)[O-])O,O=[N+]([O-])c1ccc(F)cc1,0.5714285714285714
92,CC(C)CC(=O)N,CC(C)CC(N)=O,1.0
93,CCCCCCCCCc1ccc(cc1)O,CCCCCCCCCc1ccc(O)cc1,1.0
94,CC(CC(=O)O)CC(=O)O,CC(CC(=O)O)CC(=O)O,1.0
95,c1cc(sc1)c2cccs2,c1csc(-c2cccs2)c1,1.0
96,c1cc(c(cc1Cl)C=O)O,CC(=O)Oc1ccc(Cl)cc1,0.35384615384615387
97,c1cc(ccc1N=C=S)N=C=S,Error,0.037037037037037035
98,O=[N+]([O-])c1c(C)cccc1C(=O)O,CC(=O)c1cccc(O)c1[N+](=O)[O-],0.4857142857142857
99,c1cc(ccc1C(c2ccc(cc2)O)(C(F)(F)F)C(F)(F)F)O,Oc1ccc([C@H](c2ccc(F)cc2)C(F)(F)F)cc1,0.7111111111111111
100,Cc1cc(c(cc1C)C(=O)C)C,CC(=O)c1cc(C)c(C)cc1C,1.0
101,C1=CC(=C(C(=C1[N+](=O)[O-])Cl)Cl)Cl,Clc1cccc(Cl)c1Cl,0.42028985507246375
102,CCCN(CC1CC1)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],CCCN(Cc1ccc([N+](=O)[O-])cc1)[C@]1(C)[C@](C)([NH3+])[C@]1([NH3+])c1ccc(F)cc1,0.3775933609958506
103,O=C(N)c1ccc(O)cc1,Error,0.022222222222222223
104,C1C2C=CC1C=C2,C[C@H]([NH3+])c1ccccc1,0.023255813953488372
105,CCCCCCCCCCCCCC=O,CCCCCCCCCCCCC=O,1.0
106,N#CN,Error,0.07692307692307693
107,O=C(OC(C)(C)C)N[C@H](C(=O)O)C,C[C@H](OC(=O)NC(C)(C)C)C(N)=O,0.5370370370370371
108,CCCCC(=O)c1ccccc1,CCCCC(=O)c1ccccc1,1.0
109,CC(=O)CCc1ccc(c(c1)OC)O,COc1cc(CCC(C)=O)ccc1O,1.0
110,C(CCCl)CCCl,CCC[C@@H](Cl)CCl,0.48
111,CN(C)c1ccc(cc1)C(=O)c2ccc(cc2)N(C)C,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,1.0
112,CCCCCCCCCCCCC=C,C/C=C\CCCCCCCCC,0.7272727272727273
113,O=[N+]([O-])N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O,[NH3+]N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,0.726027397260274
114,c1cc(ccc1CC#N)C(F)(F)F,N#CCc1ccc(F)cc1,0.45652173913043476
115,OCC(O)CO,OCC(O)CO,1.0
116,CC(=NNC(=O)c1ccncc1)c2ccco2,C/C(=N/NC(=O)c1ccncc1)c1ccco1,1.0
117,c1ccc(c(c1)[N+](=O)[O-])Br,O=[N+]([O-])c1ccccc1Br,1.0
118,CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCC)OCCCC,0.9272727272727272
119,c1cc(ccc1N=C=S)Br,Clc1ccc(I)cc1,0.3333333333333333
120,COC(=O)c1ccc(cc1)C(=O)O,COC(=O)c1ccc(C(=O)O)cc1,1.0
121,c1cc(ccc1Cc2ccc(cc2)O)O,OCc1ccc(COc2ccccc2)cc1,0.4146341463414634
122,CC(C)CCCC(C)C,CC(C)CCCC(C)C,1.0
123,CC(=O)c1cccc(c1)Br,CC(=O)c1cccc(Br)c1,1.0
124,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3S2,O=S1c2ccccc2Cc2ccccc21,0.5981308411214953
125,CF,C[C@H]([NH3+])c1ccccc1,0.02702702702702703
126,C=C(C)CCCC,C=C(C)CCCC,1.0
127,CCCCCCCCC,CCCCCCCCC,1.0
128,O=Cc1ccc(C#N)cc1,N#Cc1ccc(C=O)cc1,1.0
129,c1cc(c(c(c1)Cl)C(=S)N)Cl,Clc1ccccc1Cl,0.359375
130,c1cc(c(c(c1)F)C(=O)N)F,Cc1c(F)cccc1F,0.45
131,CN(C)c1ccc(cc1)N(C)C,CN(C)c1ccc(N(C)C)cc1,1.0
132,c1cc(c(c(c1)O)[N+](=O)[O-])O,O=[N+]([O-])c1ccccc1O,0.9333333333333333
133,c1cc(cc(c1)C(F)(F)F)C#N,N#Cc1cc(F)cc(C(F)F)c1,0.5263157894736842
134,OC(=O)CCc2nc(c1ccccc1)c(o2)c3ccccc3,O=C(O)Cc1nc(-c2ccccc2)c(Cc2ccccc2)o1,0.7602040816326531
135,BrCCl,ClCBr,1.0
136,C(CCC(=O)O)CCC(=O)O,CCCCCC(=O)OC,0.4
137,OCCOCCOCCO,OCCOCCOCCO,1.0
138,C1CN(CCN1CCCN)CCCN,CN1CCN(CCCNC(N)=O)C[C@@H]1CCN,0.5176470588235295
139,CCCCC2=NC1(CCCC1)C(=O)N2Cc3ccc(cc3)c4ccccc4c5nnn[nH]5,CCCCC1=NCC(=S)N1Cc1ccc(-c2ccc(C(=O)c3ccccc3)cc2)cc1,0.43812709030100333
140,Clc2cc(Cl)ccc2Oc1ccc(cc1)[N+]([O-])=O,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2)c(Cl)c1,0.8611111111111112
